fname,label
k000002k.wav,Hip-Hop
k000005.wav,Hip-Hop
k000010.wav,Pop
k000140.wav,Folk
k000141.wav,Folk
k000148.wav,Experimental
k000182.wav,Rock
k000190.wav,Folk
k000193.wav,Folk
k000197.wav,Folk
k000200.wav,Folk
k000203.wav,Folk
k000204.wav,Folk
k000207.wav,Folk
k000210.wav,Folk
k000211.wav,Folk
k000212.wav,Folk
k000213.wav,Pop
k000255.wav,Rock
k000256.wav,Rock
k000368.wav,Rock
k000424.wav,Experimental
k000459.wav,Rock
k000534.wav,Folk
k000540.wav,Folk
k000546.wav,Folk
k000574.wav,Rock
k000602.wav,Folk
k000615.wav,Experimental
k000620.wav,Folk
k000621.wav,Folk
k000625.wav,Folk
k000666.wav,International
k000667.wav,International
k000676.wav,Hip-Hop
k000690.wav,Rock
k000694.wav,Hip-Hop
k000695.wav,Hip-Hop
k000704.wav,International
k000705.wav,International
k000706.wav,International
k000707.wav,International
k000708.wav,International
k000709.wav,International
k000714.wav,Folk
k000715.wav,Folk
k000716.wav,Folk
k000718.wav,Folk
k000777.wav,Rock
k000814.wav,Folk
