fname,label
00353774.wav,Cello
0091fc7f.wav,Cello
01c2f88b.wav,Bass_drum
0286fc27.wav,Double_bass
0356dec7.wav,Acoustic_guitar
03fc1f96.wav,Bass_drum
06c48eab.wav,Hi-hat
078f7ac0.wav,Hi-hat
07db7f16.wav,Flute
09a1cfd7.wav,Hi-hat
0c67f402.wav,Snare_drum
0ddb4bdf.wav,Bass_drum
0e7cd4eb.wav,Violin_or_fiddle
0ed06544.wav,Hi-hat
0eeaebcb.wav,Acoustic_guitar
103f29e5.wav,Double_bass
10da16fb.wav,Acoustic_guitar
1148986e.wav,Violin_or_fiddle
125e6ccf.wav,Cello
13da16ae.wav,Double_bass
160c92d7.wav,Acoustic_guitar
16c9a838.wav,Acoustic_guitar
17f82c05.wav,Acoustic_guitar
18865530.wav,Flute
19105b8a.wav,Clarinet
195f544d.wav,Cello
19893aa8.wav,Double_bass
1a7d3f2d.wav,Double_bass
1b24c166.wav,Violin_or_fiddle
1b93aeba.wav,Flute
1bc8eae1.wav,Snare_drum
1c9a423f.wav,Snare_drum
1e3391d5.wav,Snare_drum
1f81cc2b.wav,Clarinet
2016d256.wav,Acoustic_guitar
2032be87.wav,Hi-hat
21346775.wav,Violin_or_fiddle
229be2be.wav,Snare_drum
22bea889.wav,Cello
22e1c02c.wav,Snare_drum
236cbab1.wav,Acoustic_guitar
238b16a5.wav,Cello
2424ad60.wav,Violin_or_fiddle
2503aaa1.wav,Hi-hat
25f26095.wav,Saxophone
2ac8b94f.wav,Double_bass
2cc8683d.wav,Violin_or_fiddle
2da9e12a.wav,Cello
2e1cd085.wav,Clarinet
