fname,label
00353774.wav,Cello
0091fc7f.wav,Cello
01c2f88b.wav,Bass_drum
0286fc27.wav,Double_bass
0356dec7.wav,Acoustic_guitar
03fc1f96.wav,Bass_drum
06c48eab.wav,Hi-hat
078f7ac0.wav,Hi-hat
07db7f16.wav,Flute
09a1cfd7.wav,Hi-hat
0c67f402.wav,Snare_drum
0ddb4bdf.wav,Bass_drum
0e7cd4eb.wav,Violin_or_fiddle
0ed06544.wav,Hi-hat
0eeaebcb.wav,Acoustic_guitar
103f29e5.wav,Double_bass
10da16fb.wav,Acoustic_guitar
1148986e.wav,Violin_or_fiddle
125e6ccf.wav,Cello
13da16ae.wav,Double_bass
160c92d7.wav,Acoustic_guitar
16c9a838.wav,Acoustic_guitar
17f82c05.wav,Acoustic_guitar
18865530.wav,Flute
19105b8a.wav,Clarinet
195f544d.wav,Cello
19893aa8.wav,Double_bass
1a7d3f2d.wav,Double_bass
1b24c166.wav,Violin_or_fiddle
1b93aeba.wav,Flute
1bc8eae1.wav,Snare_drum
1c9a423f.wav,Snare_drum
1e3391d5.wav,Snare_drum
1f81cc2b.wav,Clarinet
2016d256.wav,Acoustic_guitar
2032be87.wav,Hi-hat
21346775.wav,Violin_or_fiddle
229be2be.wav,Snare_drum
22bea889.wav,Cello
22e1c02c.wav,Snare_drum
236cbab1.wav,Acoustic_guitar
238b16a5.wav,Cello
2424ad60.wav,Violin_or_fiddle
2503aaa1.wav,Hi-hat
25f26095.wav,Saxophone
2ac8b94f.wav,Double_bass
2cc8683d.wav,Violin_or_fiddle
2da9e12a.wav,Cello
2e1cd085.wav,Clarinet
2e4a9850.wav,Violin_or_fiddle
2f9c5f62.wav,Saxophone
2fc00271.wav,Clarinet
31db8c5e.wav,Snare_drum
31dbc5c0.wav,Cello
32dee61b.wav,Acoustic_guitar
34747922.wav,Acoustic_guitar
34a90030.wav,Hi-hat
34e4d187.wav,Cello
35039ae1.wav,Acoustic_guitar
35e97db3.wav,Flute
367ad7b1.wav,Acoustic_guitar
36d06cc0.wav,Snare_drum
36d20ab5.wav,Saxophone
3707da71.wav,Flute
37cebbd4.wav,Saxophone
38216fad.wav,Acoustic_guitar
3a3d0279.wav,Hi-hat
3a80061f.wav,Saxophone
3a9085ca.wav,Bass_drum
3aafb6ad.wav,Hi-hat
3c66098d.wav,Clarinet
3c713bcf.wav,Clarinet
3cbe9902.wav,Clarinet
3d3439f1.wav,Hi-hat
3e2bddda.wav,Cello
3eaddda8.wav,Flute
3f7e6da8.wav,Clarinet
41897c32.wav,Hi-hat
4345851e.wav,Saxophone
444f9db5.wav,Double_bass
44c5094c.wav,Clarinet
44fb3eeb.wav,Acoustic_guitar
45de3233.wav,Clarinet
462b676f.wav,Double_bass
468f9c4c.wav,Hi-hat
46b52f97.wav,Snare_drum
493c247b.wav,Hi-hat
4ba2b70e.wav,Bass_drum
4bcc8a77.wav,Flute
4bff8f32.wav,Cello
4c4d4797.wav,Snare_drum
4c590f69.wav,Snare_drum
4fb480bf.wav,Double_bass
4fd883bb.wav,Double_bass
52300f9b.wav,Hi-hat
52e54bdd.wav,Bass_drum
5388d14d.wav,Saxophone
5506629f.wav,Clarinet
55822aae.wav,Acoustic_guitar
55d52a69.wav,Flute
0c674310.wav,Violin_or_fiddle
ff11628d.wav,Cello
